,a,b,c,d,e,f,g,h,i,renzhen,weibo_num,gzl,fsl
256,文化福州,#湖东讲坛预告#今晚6:45[话筒]欢迎参加第247期湖东讲坛 ！主题：大数据及其行业应用，主讲人：刘世平（国家“千人计划”专家，中科院大学金融科技中心主任、首席科学家，教授、博导，国内商业智能及数据挖掘顶尖专家），@福建发改委 五楼中型会议室,11月23日 20:07?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2635783743,认证：福州市文化广电新闻出版局官方微博,微博[2072],关注[891],粉丝[3544]
257,gogoboyz,:我的大数据。,11月23日 20:05?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/gogoboyz,gay，关心人类，关心社会。,微博[735],关注[0],粉丝[117]
258,遥远太空互联网,:网络如何看病？这个问题很重要，搞个远程诊断人身体的系统。网络肯定可以遥距看病，不利用目前疾病理论，基于远程诊断建立一套网医学。既然有西医，有中西，自然有网医。我们中国古代中医学，那些针灸，经络都是网医的理论。直接搞网医，将日常生活进行大数据搜集，从生活模式，来医治身体。,11月23日 20:00?来自Lenovo VIBE Shot,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2171500245,上帝创造奇迹！,微博[72],关注[471],粉丝[547]
259,闻起来一身天使味,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。来看看准不准,11月23日 19:57?来自OPPO智能手机,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5720308602,你看我可爱么,微博[288],关注[79],粉丝[75]
260,闻起来一身天使味,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。来看看准不准,11月23日 19:57?来自OPPO智能手机,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5720308602,你看我可爱么,微博[288],关注[79],粉丝[75]
261,丁点铒_vhu,全球跑步大数据互动地图：http://t.cn/RfK4LBF。感觉欧美的城市数据比较足，更能反映城市真实的面貌。比如图一可以看出英格兰、荷兰、比利时的人口密度非常大，相比之下法国就小得多。牛津的跑步路线集中在大学公园和泰晤士河沿岸，斯坦福类似。大陆城市的数据量感觉不够充分，北京的热门地点是奥森，?全文,11月23日 19:57?来自iPhone 5s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/tintincn,新银河帝国第二基地心理史学策划部,微博[3196],关注[1277],粉丝[138]
262,贵师大2014级数科院数二班,:今天晚上7：00，我们2014级数二班全体同学在大数据学院楼6303开展“两学一做”团日活动。@贵州师大数学科学学院团委 @贵师大花溪数科院2015级卓越班 @贵州师范大学数计学院 @贵师大15级数本班,11月23日 19:56?来自柔光自拍vivo X7Plus,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/u/3839231376,,微博[196],关注[88],粉丝[84]
263,白山飘雪,:【揭秘东软大健康战略：以大数据技术全面应用于医疗领域】 http://t.cn/RfKi5ZN,11月23日 19:51?来自今日头条,no,no,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1432541804,,微博[2036],关注[68],粉丝[31]
264,单车健身菌,:大数据分享，送给基础骑友作为参考值（非Fit精准度），可以避开奸商的套路，套路还是套路。,11月23日 19:51?来自微话题,no,yes,赞[9]</a>,转发[6]</a>?<a c,评论[3]</a>?<a h,http://weibo.cn/234138615,认证：微博运动健身帐号 微博签约自媒体,微博[5183],关注[89],粉丝[184709]
265,cz浅笑安然,:发表了一篇转载博文《[转载]基于大数据与深度学习的自然语言对话》[转载]基于大数据与深度学习的自然语言对话,11月23日 19:51?来自新浪博客,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1357158085,系统所限，未粉的朋友莫怪。谢谢关注！【【卖粉的、骗粉的请绕...,微博[26635],关注[2003],粉丝[984]
266,物联之家网,:西门子在物联网领域携手微软---德国西门子11月22日发布消息称，将与美国微软在物联网领域展开合作。西门子计划从2017年起将其主要用于对工业设备收集的大数据进行分析的平台提供给微软的云服务。 http://t.cn/RfKJCie,11月23日 19:41?来自分享按钮,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/iothomecom,物联网改变世界的见证者,微博[1795],关注[52],粉丝[81]
267,永远那年的妳,:【C++改变了世界，未来还要助力人工智能、大数据、机器学习的研发】 http://t.cn/RfKJXEM,11月23日 19:40?来自今日头条,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/foreveryouonthatyear,永远那年的妳，永远藏在我心底！,微博[93],关注[55],粉丝[5]
268,微报告,发布了头条文章：《大数据行业榜单重磅发布！》祝贺@36氪 @雷锋网 @CSDN   获选#大数据精品推荐榜# TOP3[威武]；恭喜 @数据化管理 @36氪 @英特尔知IN  荣登上周#大数据热门文章榜# TOP3[给力]数据君会持续推出#大数据行业榜单# 敬请期待[[话筒] 大数据行业榜单重磅发布！,11月23日 19:39?来自iPhone 6,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/reportcenter,认证：微报告官方账号,微博[5877],关注[270],粉丝[184271]
269,新华上海微盘招商加盟代理,:发表了博文《EIA！今晚23:30，EIA之夜，你要不要大赚一笔？》今晚23:30，EIA大数据来临，这让不少投资者打起了精神，不管油价是涨是跌，从来都不是阻挡投资者们在EIA行情丰收的障碍。但很多投EIA！今晚23:30，EIA之夜，&nbsp;你要不要大赚一笔？,11月23日 19:35?来自新浪博客,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/237898172,微盘招商开始啦！高返佣，欢迎咨询,微博[464],关注[924],粉丝[692]
270,艾特鹿晗,#鹿晗#搜狗大数据告诉你这几年网民都在聊些啥我们鹿厉害的噢！！！会越来越好的！鹿家人，一鹿前行！@M鹿M,11月23日 19:30?来自iPhone 7,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3958603917,一直都知道你们就在我的身边,微博[2575],关注[98],粉丝[53]
271,基础医学院16临2梁梦琰,":#青马,在路上# 第三节青马课[噢耶][噢耶]今天青马是由张老师带来的主题为“高校共青团的宣传工作与新媒体运用”的讲座[鼓掌][鼓掌]张老师的声音有点小呀[笑cry]坐在后面的我竖着耳朵努力的听[污][污]老师今天讲的东西十分得“接地气”呀[偷笑]先结合当今庞大的智能手机数量通过大数据给我们展示了新?全文",11月23日 19:24?来自iPhone 5s,no,no,赞[24]</a,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2794423694,红星闪闪放光彩,微博[59],关注[118],粉丝[141]
272,微数据,:发布了头条文章：《大数据行业榜单重磅发布！》祝贺@36氪 @雷锋网 @CSDN   获选#大数据精品推荐榜# TOP3[威武]；恭喜 @数据化管理 @36氪 @英特尔知IN  荣登上周#大数据热门文章榜# TOP3[给力]数据君会持续推出#大数据行业榜单# 敬请期待[[话筒] 大数据行业榜单重磅发布！,11月23日 19:24?来自微博 weibo.com,no,yes,赞[1]</a>,转发[2]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/weishuju,认证：微数据官方微博,微博[10996],关注[321],粉丝[332882]
273,安_建华,:南京市促进大数据发展三年行动计划 南京市促进大数据发展三年行动计划（全文）,11月23日 19:19?来自小米手机,no,no,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/anjianhua,统计学硕士，经济数据产品经理，国研网,微博[3260],关注[103],粉丝[50]
274,马曼然,:分子生物技术的发展，会给传统化药带来深远的冲击甚至颠覆，但对中医药学是历史性的机遇，大数据、信息技术和基因技术的运用将揭开中医药是如何起作用的，让中医学得到现代科学的解释，有助于中医药被国际认可和接受，希望国内中医学领域的权威们，把握好这次历史性的机遇。,11月23日 19:10?来自360安全浏览器,no,yes,赞[49]</a,转发[29]</a>?<a ,评论[0]</a>?<a h,http://weibo.cn/u/1154258881,认证：北京马曼然资产管理有限公司董事长马曼然 微博签约自媒体,微博[10160],关注[170],粉丝[90047]
275,微码邓白氏,:分享自微码邓白氏  《大数据分析： 从数字中“掘金》 -   在对今年美国总统大选结果的各种预测中，“义乌做旗子的预测美国大选结果”异军突起，让人们见识到了大数据的神奇力量。 大数据分析：从数字中“掘金,11月23日 19:08?来自新浪博客,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/micromarketingdnb,认证：北京微码邓白氏营销咨询有限公司官方微博,微博[1619],关注[114],粉丝[1576]
276,飄丫遠,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。来看看准不准,11月23日 19:06?来自小米手机2,yes,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/yen8,Never underestimate your power to change yourself!,微博[820],关注[525],粉丝[84]
277,飄丫遠,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。来看看准不准,11月23日 19:04?来自小米手机2,yes,no,赞[0]</a>,转发[0]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/yen8,Never underestimate your power to change yourself!,微博[820],关注[525],粉丝[84]
278,鹿晗lucida-资源分享博,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。来看看准不准,11月23日 19:04,yes,no,赞[386]</,转发[187]</a>?<a,评论[25]</a>?<a ,http://weibo.cn/u/2945055492,lulu=优秀的人，lucida=明亮的星星。鹿晗，是一个优秀的人，是...,微博[49029],关注[208],粉丝[968961]
279,海滨政经述-橡谷智库,最近一位企业主对我报料，一台卖十万元的机器有四十几个配件供应商，实际配件成本超过6万元，但很多小零件根本没有发票，真正可抵扣的配件发票只有4万元，而制造这台机器的人工成本就超过3.5万元，这台十万元的机器实际利润不到5千元，而增值税却要交（10-4）*17％＝1.02万元，[悲伤]制造业不死才怪。,11月23日 19:04?来自微博 weibo.com,yes,no,赞[20]</a,转发[20]</a>?<a ,评论[2]</a>?<a h,http://weibo.cn/chicagolaowang,中河失船，一壶千金。贵贱无常，时使物然。,微博[8394],关注[318],粉丝[42722]
280,-股海东方不败-微博,:最近都是一些传统工业的股票表现较好，例如：基建工程，卖挖土机，打桩机，园林绿化，医药等，反倒是中小创比较集中的大数据，云计算，智能驾驶，vr等新兴产业表现较差，大家在赌高送转的时候不妨考虑一下这个因素。,11月23日 19:04?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2981744204,股海浮沉，唯我不败！,微博[101],关注[143],粉丝[99]
281,白河边上枯木,:迎接今晚两大数据！EIA原油库存数据、初请失业金！！！！3000元体验！！账户资金3000元！！为您对接私教老师，帮你快速...  (来自 @头条博客) - http://t.cn/RfKINbT,11月23日 19:03?来自新浪博客,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5968502207,投资有风险，入市需谨慎！,微博[86],关注[296],粉丝[57]
282,南京高新城管环保,:#江北动态#【江北新区打造“智慧物联新区”】11月22日下午，南京市江北新区管委会、中国移动江苏公司宣布携手共同推进“智慧物联新区”建设，在“十三五”期间将依托4G/5G、物联网、云计算、大数据等先进技术，提升江北新区信息化总体水平。via 江北新区管委会,11月23日 19:01?来自三星GALAXY Note 4,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/NJGXCGHB,认证：南京高新技术产业开发区管理委员会城市管理和环境保护局官方微博,微博[973],关注[47],粉丝[124]
283,粉笔公考,:#行测大数据# 今日推送：物理常识。[鼓掌]答对将有机会获得粉笔笔记本一本哦！[威武]距离国考仅剩4天，小伙伴是不是急需国考申论热点大猜想？今晚7点半，张小龙教你踢好临门一脚，传送门http://t.cn/RVg28uI 另外为了满足傲娇龙，微博也会开启直播[心][心]猛戳下载：粉笔公考,11月23日 19:01?来自微博 weibo.com,no,yes,赞[12]</a,转发[12]</a>?<a ,评论[333]</a>?<a,http://weibo.cn/ytkgwy,认证：北京粉笔蓝天科技有限公司,微博[12630],关注[263],粉丝[517081]
284,浙江大学管理学院,:【专业化、并购将成未来创投两大趋势，程厚博称“未来最大投资机会是...” | 校友】如今，我们正处在一个大变革时代，移动互联网、大数据、人工智能等给我们的生活带来了很大改变，同时也带来了很多投资机会。那么，未来最大的投资机会是什么？未来创投又将如何发展？专业化、并购将成未来创投两大趋势，程厚博称“未来最大投资机会是...” | 校友,11月23日 18:59?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/zjusom,认证：浙江大学管理学院官方微博,微博[7765],关注[595],粉丝[709632]
285,陈毅然蓬爸,:【川企高校合建“陆海空”地震监测预警大数据体系_大公资讯_大公网】 http://t.cn/RfKfSur,11月23日 18:49?来自手机QQ浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1429705904,科技发展首先是保障人的生命安全，科技手段让我们更加远离各种...,微博[1189],关注[122],粉丝[544]
286,百度周杰伦吧,:日前，中国人民大学新闻与社会发展研究中心与搜狗输入法大数据团队联合发布了 《中国网民的信息生产及情感价值结构演变报告》。报告显示，在输入量最高的人名统计中，2013年#周杰伦#成为输入量最高的人名，而#周杰伦#在2014年、2015年依旧排名前三。[doge][酷][哆啦A梦吃惊],11月23日 18:48?来自微话题,no,yes,赞[190]</,转发[98]</a>?<a ,评论[42]</a>?<a ,http://weibo.cn/baidujaybar,认证：百度周杰伦吧,微博[8153],关注[187],粉丝[134302]
287,中国供应链联盟,:【12页PPT：揭秘阿里B2B架构，互联网+供应链+大数据】阿里B2B事业部CTO李纯日前对外公开解析阿里B2B的技术演进?传统供应链管理体系?互联网B2B1.0架构?阿里B2B演变的三个阶段?互联网+供应链+大数据?EDI体系架构?B2B业务的多种模式…详见全文。 【12页PPT：揭秘阿里B2B架构，互联网+供应链+大数据】,11月23日 18:45?来自微博 weibo.com,no,yes,赞[9]</a>,转发[16]</a>?<a ,评论[2]</a>?<a h,http://weibo.cn/scmu,认证：中国供应链联盟(www.scmunion.com)官方微博,微博[11579],关注[932],粉丝[78690]
288,微数据,:第一届大数据教育论坛在京启动啦，速来围观[围观][围观][围观]发布了头条文章：《北京大数据研究院助力人才培养 第一届大数据教育论坛在京启动》 北京大数据研究院助力人才培养 第一届大数据教育论坛在京启动,11月23日 18:40?来自微博 weibo.com,no,yes,赞[2]</a>,转发[4]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/weishuju,认证：微数据官方微博,微博[10996],关注[321],粉丝[332882]
289,汇商Forexpress,:【再不读你就Out了！来看看算法交易的世界】大数据的广泛应用不断带来外汇市场的技术发展，而算法交易是其中不可忽视的一种创新。近三十年前，外汇市场的特色还是电话执行交易、机构投资者、不透明的价格信息、交易商间交易和交易商对客户交易的显著差异、以及低市场集中水平。http://t.cn/RfKVYFi,11月23日 18:40?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/forexpress2013,外汇领域专业跨媒体平台 www.forexpress.hk,微博[3762],关注[46],粉丝[839]
290,互联网信徒王冠雄,:雄出没科技直播让满嘴人工智能、大数据的科技范自媒体大叔和爱美妆、爱欧巴的美女网红在客厅共处两小时，两人竟然完全不尴尬…因为他们都被智能硬件新物种迷住了！明天下午两点，科技大V王冠雄和本期雄女郎娄雪阳一起带你一起体验智能影音伴侣小爱A1。在花椒、映客搜索并关注雄出没科技直播，参与互动?全文,11月23日 18:39?来自微博 weibo.com,no,yes,赞[5]</a>,转发[30]</a>?<a ,评论[30]</a>?<a ,http://weibo.cn/wangguanxiong,认证：知名IT经理人、天使投资人，观察家 微博签约自媒体,微博[7266],关注[942],粉丝[776391]
291,参会帮,:2016年11月24日-25日，GITC2016全球互联网技术大会将于北京国家会议中心隆重召开。 GITC2016将深度交流时下互联网技术热点，全面覆盖云、大数据、安全、运维、基础架构、移动互联网等热点进行主题演讲，同时引入全球领先的AI，VR技术，让与会观众全方位领略、感受世界领先技术。详情?全文,11月23日 18:36?来自专业版微博,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/canhuibang,认证：参会帮-IT行业的会议活动资讯平台，隶属北京紫音天鸿,微博[31],关注[261],粉丝[1189]
292,M鹿啦鹿啦蕾M,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。其中输入最高的人名：2013年前五名周杰伦、张杰、陈奕迅、苍井空、权志龙，14年为邓紫棋、张杰、周杰伦、陈奕迅、鹿晗，15年为鹿晗、周杰伦?全文,11月23日 18:36?来自鹿啦蕾的Android,yes,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5471047373,鹿晗是唯一底线,微博[4391],关注[131],粉丝[190]
293,国家发改委,:近日，2016沈阳?第三届中国智慧城市（国际）创新大会暨2016智慧城市和大数据发展（沈阳）博览会在沈阳市圆满闭幕。本届创新大会在国家发展改革委员会、辽宁省人民政府、农业部、国家测绘地理信息局指导下举办，由沈阳市人民政府和中国城市和小城镇改革发展中心主办。http://t.cn/RfKVVZ2,11月23日 18:35?来自专业版微博,no,yes,赞[4]</a>,转发[3]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/gjfgw,认证：国家发展和改革委员会政策研究室官方微博,微博[2621],关注[59],粉丝[496977]
294,睡觉的死神,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。其中输入最高的人名：2013年前五名周杰伦、张杰、陈奕迅、苍井空、权志龙，14年为邓紫棋、张杰、周杰伦、陈奕迅、鹿晗，15年为鹿晗、周杰伦?全文,11月23日 18:30?来自万人迷OPPO R7,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5980248400,最最最喜欢鹿晗,微博[1683],关注[379],粉丝[75]
295,互联网分析沙龙,:【你具备互联网思维吗？】互联网思维，顾名思义是指互联网时代的思考方式，在（移动）互联网+、大数据、云计算等科技不断发展的背景下，对市场、用户、产品、企业价值链乃至对整个商业生态进行重新审视的思考方式。,11月23日 18:30?来自互联网分析沙龙,no,yes,赞[13]</a,转发[22]</a>?<a ,评论[2]</a>?<a h,http://weibo.cn/tianxuefeng,认证：互联网分析沙龙 techxue.com官方微博,微博[26874],关注[2020],粉丝[1616624]
296,雪很懒,:搭了一天的大数据框架，头疼,11月23日 18:29?来自iPhone 6s,no,no,赞[6]</a>,转发[0]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/u/5792511510,圆脸美少女；程序媛,微博[51],关注[597],粉丝[496]
297,用户5484687754,杭州消费者在星巴克杭州双城国际店购买中杯咖啡时，服务员连续两次要求确认：“你确定是中杯吗”、“中杯是我们最小的杯型哦”，又推荐“有个8折买蛋糕的机会”。不愿透露姓名的店员说，在国内，三种杯型的英文名为Tall、Grande、Venti，对应的是中、大、特大。最小的一种Short杯不是用来提供咖啡饮料?全文,11月23日 18:26?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5484687754,,微博[83],关注[407],粉丝[2]
298,da_lilfawn,近日，搜狗与中国人民大学新闻与社会发展中心联合发布了《中国网民的信息生产及情感价值结构演变报告》，这份报告选取的是以微信、微博和QQ等软件为核心的数据。来看看准不准,11月23日 18:25?来自iPhone 6 Plus,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/u/5304550439,“梦想放在心里，努力放在人后”,微博[5120],关注[32],粉丝[33]
299,哎呀呀你们说我叫个什么名字好呢,:我现在听到电视上说到大数据三个字就开始头疼→_→,11月23日 18:25?来自iPhone 6s,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[7]</a>?<a h,http://weibo.cn/u/2112052284,,微博[1509],关注[49],粉丝[24]
300,中国电影报道,:一周电影大数据火热出炉——纵观过去七天，有《我不是潘金莲》、《深海浩劫》、《勇士之门》等八部新片与观众见面，其中《我不是潘金莲》强势来袭，过去一周战绩如何，来看全新出炉的一周电影大数据。 秒拍视频 .,11月23日 18:18?来自秒拍网页版,no,yes,赞[4]</a>,转发[2]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/moviereport,认证：CCTV6电影频道旗舰栏目官方微博,微博[20918],关注[1054],粉丝[1861879]
301,yoyo唯鹿,#鹿晗##鹿晗长城##鹿晗愿望季# 【把鹿晗部分截出来单独发一下】  *由ZOL中关村在线发表的、关于搜狗与中国人民大学新闻与社会发展中心联合发布的《中国网民的信息生产及情感价值结构演变报告》中显示，输入次数最高的明星：鹿晗2014年上榜，2015年位居首位（图12）[威武]  *光明日报给出了具体数据（?全文,11月23日 18:18?来自iPhone 6s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5648900872,鹿饭 毒唯 【只听，只看，只信鹿晗。 只为我鹿买单】,微博[3205],关注[87],粉丝[147]
302,房屋永恒,:冷空气袭，秋裤穿起来。关内东部洼地，给你安家的一次机会！（来源：中原大数据） 降至2.9万/平起！传统洼地“低”破你想象,11月23日 18:17?来自iOS,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5044174539,认证：中原地产代理（深圳）有限公司 物业顾问,微博[4055],关注[648],粉丝[12082]
303,贰哥忒贰,:根据深圳中原大数据，盐田房价深圳最洼地，甚至低过布吉和沙井，梅沙二宝@生个儿子玩 @洪怀懋 两位哥要加油吆喝了。,11月23日 18:17?来自iPhone 6 Plus,no,no,赞[2]</a>,转发[8]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/linxisweibo,房地产即实业， 不停倒腾，不动产动起来 。,微博[19073],关注[756],粉丝[22990]
304,飒-yoyo,:分享图片今天EIA大数据了，好激动！要准备好行情分析了[偷笑],11月23日 18:15?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2630234711,用力的活，用力的爱，我会证明我自己！,微博[1528],关注[262],粉丝[167]
305,-赵xin桐-,#鹿晗##鹿晗长城##鹿晗愿望季# 【把鹿晗部分截出来单独发一下】  *由ZOL中关村在线发表的、关于搜狗与中国人民大学新闻与社会发展中心联合发布的《中国网民的信息生产及情感价值结构演变报告》中显示，输入次数最高的明星：鹿晗2014年上榜，2015年位居首位（图12）[威武]  *光明日报给出了具体数据（?全文,11月23日 18:13?来自OPPO R9,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2332175771,郑大2014级播音主持 兔牙 眼角痣 狗奴 精分 追星,微博[4277],关注[390],粉丝[652]
306,生活多美好BYS,:[二哈]大数据应用这个老师真会搞事啊,11月23日 18:13?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2632970614,让人上进的事情，除了危机就是耻辱。,微博[337],关注[80],粉丝[31]
307,原油老司机-赵攀,:三大数据相聚今晚，暴风雨前的宁静，你怎么看？别告诉我你看不清哦。那可是钱[攤手],11月23日 18:12?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/6019728257,认证：深圳龙深合网络新科技有限公司 职员,微博[120],关注[2999],粉丝[28950]
308,华领CMA官微,:日前，戴姆勒中国再次携手华领国际针对大数据背景下的业财融合举办企业内训。华领国际特邀世界500强企业财务管理实战专家左斌授课。内训课程内容包括大数据在业财融合中的应用、管理会计通过业务财务落地、业务财务能力要求和团队建设等，让学员从企业经营者的角度审视财务与会计问题，为实际工作设计?全文,11月23日 18:11?来自专业版微博,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/hualingedu,认证：华领国际管理顾问（北京）有限公司,微博[6518],关注[305],粉丝[2319]
309,华领CMA官微,:日前，戴姆勒中国再次携手华领国际针对大数据背景下的业财融合举办企业内训。华领国际特邀世界500强企业财务管理实战专家左斌授课。内训课程内容包括大数据在业财融合中的应用、管理会计通过业务财务落地、业务财务能力要求和团队建设等，让学员从企业经营者的角度审视财务与会计问题，为实际工作设计?全文,11月23日 18:11?来自专业版微博,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/hualingedu,认证：华领国际管理顾问（北京）有限公司,微博[6518],关注[305],粉丝[2319]
310,华院分析大数据营销,:大数据助力传统农业转型升级[喵喵][喵喵][微笑][微笑]大数据在农业领域的应用盘点,11月23日 18:09?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5967306087,认证：华院分析技术,微博[118],关注[66],粉丝[2113]
311,伯乐在线官方微博,:阿里巴巴技术论坛（Alibaba Technology Forum）—2016双11技术创新在线专场，火热报名中！本届论坛将于12月6日-7日举办，此次邀请到亲历今年双11的8位技术大V， 就基础架构，平台架构，大数据，人工智能，虚拟互动，前端等领域实践经验，与大家进行深入交流和互动！报名传送门：http://t.cn/RfKthm5,11月23日 18:06?来自微博 weibo.com,no,yes,赞[6]</a>,转发[2]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/jobbole,认证：伯乐在线官方微博,微博[13261],关注[48],粉丝[263714]
312,棕榈坚果小天狼星,:#美女与极品# 第一季大数据[加油][加油][加油],11月23日 18:04?来自iPhone 6 Plus,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/zackhua,认证：远景影视股份有限公司 导演,微博[4113],关注[761],粉丝[1036]
313,NG不在北美,:有点意思～搜狗的大数据赶超还挺快，输入法覆盖面广就是厉害啊。『【解读】大数据告诉你：中国人的“爱恨情仇”』【解读】大数据告诉你：中国人的“爱恨情仇”,11月23日 18:03?来自iPhone 6s,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3814759456,听听音乐整数据 看片看剧看小说 八卦吃瓜不废话,微博[2264],关注[315],粉丝[857]
314,一道自媒体平台,:百度百家号2016生态大会现场一手资讯，百家号大数据统计显示，水瓶座作者赚的最多！[赞]厉害了Word大水瓶~~ 水瓶座，恭喜你成为百家号最赚钱的星座作者！,11月23日 18:02?来自微博 weibo.com,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/yidaozmt,认证：上海壤歌市场营销策划有限公司,微博[438],关注[124],粉丝[1479]
315,星河互联官微,:【星河活动】寒冬不易，备好粮草才能御风急驰，我们愿意付出一些努力让我们旗下企业尽可能的贴近资本市场，寻求投资机会。未来，我们每月都会为星河家族超过200家企业举行专题路演，此次的企业服务专场，1月中旬的星河年终发布，2月的大数据与人工智能....不喧嚣，用心陪伴。http://t.cn/RfK5K2N,11月23日 18:00?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/galaxyinternet,认证：星河互联集团有限公司,微博[1267],关注[62],粉丝[10736]
